"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_28_115920_add_deleted_at_to_action_users_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_30_090720_create_menus_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_02_091514_create_domains_table.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 6, 4, 38
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_02_120424_create_languages_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_03_040130_add_domain_to_blogs_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_03_040322_add_domain_to_news_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_04_043502_create_departments_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_04_055024_create_designations_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_06_061206_add_department_to_designations_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_06_062942_add_level_to_designations_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_06_064259_add_department_to_users_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_07_091055_create_statuses_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_07_101134_add_status_to_blogs_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
